time,dir,queue,vehicles,mean_speed
50.0,E,0,2,51.16
50.0,S,0,1,58.05
51.0,W,0,1,57.73
51.0,N,0,0,100.01
51.0,E,0,2,55.06
51.0,S,0,1,58.85
52.0,W,0,1,59.89
52.0,N,0,1,83.04
52.0,E,0,3,54.57
52.0,S,0,1,58.31
53.0,W,0,1,60.28
53.0,N,0,1,85.11
53.0,E,0,3,56.7
53.0,S,0,1,58.61
54.0,W,0,1,60.13
54.0,N,0,1,87.33
54.0,E,0,3,57.52
54.0,S,0,1,59.08
55.0,W,0,0,60.01
55.0,N,0,1,89.53
55.0,E,0,4,53.87
55.0,S,0,1,56.12
56.0,W,0,0,60.01
56.0,N,0,1,88.4
56.0,E,0,4,55.74
56.0,S,0,0,60.01
57.0,W,0,0,60.01
57.0,N,0,1,84.35
57.0,E,0,4,55.67
57.0,S,0,0,60.01
58.0,W,0,0,60.01
58.0,N,0,1,80.3
58.0,E,0,4,55.62
58.0,S,0,0,60.01
59.0,W,0,0,60.01
59.0,N,0,1,76.7
59.0,E,0,4,54.03
59.0,S,0,0,60.01
60.0,W,0,0,60.01
60.0,N,0,1,75.18
60.0,E,0,3,51.27
60.0,S,0,0,60.01
61.0,W,0,0,60.01
61.0,N,1,1,75.05
61.0,E,0,2,54.52
61.0,S,0,0,60.01
62.0,W,0,0,60.01
62.0,N,1,1,75.03
62.0,E,0,2,55.6
62.0,S,0,0,60.01
63.0,W,0,0,60.01
63.0,N,1,1,75.01
63.0,E,0,2,54.81
63.0,S,0,0,60.01
64.0,W,0,0,60.01
64.0,N,1,1,75.01
64.0,E,0,2,54.76
64.0,S,0,0,60.01
65.0,W,0,0,60.01
65.0,N,1,1,75.01
65.0,E,0,1,58.19
65.0,S,0,0,60.01
66.0,W,0,0,60.01
66.0,N,1,1,75.01
66.0,E,0,0,60.01
66.0,S,0,0,60.01
67.0,W,0,0,60.01
67.0,N,1,1,75.01
67.0,E,0,0,60.01
67.0,S,0,0,60.01
68.0,W,0,2,57.55
68.0,N,1,1,75.01
68.0,E,0,0,60.01
68.0,S,0,0,60.01
69.0,W,0,2,57.08
69.0,N,1,1,75.01
69.0,E,0,0,60.01
69.0,S,0,0,60.01
70.0,W,1,3,47.48
70.0,N,1,1,75.01
70.0,E,0,0,60.01
70.0,S,0,0,60.01
71.0,W,0,3,44.25
71.0,N,1,1,75.01
71.0,E,0,0,60.01
71.0,S,0,0,60.01
72.0,W,0,3,45.63
72.0,N,1,1,75.01
72.0,E,0,0,60.01
72.0,S,0,0,60.01
73.0,W,0,1,50.59
73.0,N,1,1,75.01
73.0,E,0,0,60.01
73.0,S,0,0,60.01
74.0,W,0,1,51.88
74.0,N,1,1,75.01
74.0,E,0,0,60.01
74.0,S,0,0,60.01
75.0,W,0,1,53.6
75.0,N,1,1,75.01
75.0,E,0,0,60.01
75.0,S,0,0,60.01
76.0,W,0,1,54.8
76.0,N,1,1,75.01
76.0,E,0,1,58.84
76.0,S,0,0,60.01
77.0,W,0,1,56.14
77.0,N,1,1,75.01
77.0,E,0,1,58.95
77.0,S,0,0,60.01
78.0,W,0,1,54.21
78.0,N,1,1,75.01
78.0,E,0,1,59.41
78.0,S,0,0,60.01
79.0,W,0,0,60.01
79.0,N,1,1,75.01
79.0,E,0,1,58.68
79.0,S,0,0,60.01
80.0,W,0,0,60.01
80.0,N,1,1,75.01
80.0,E,0,1,58.87
80.0,S,0,0,60.01
81.0,W,0,0,60.01
81.0,N,1,1,75.01
81.0,E,0,1,58.94
81.0,S,0,0,60.01
82.0,W,0,0,60.01
82.0,N,1,1,75.01
82.0,E,1,2,44.53
82.0,S,0,1,49.53
83.0,W,0,0,60.01
83.0,N,1,1,75.01
83.0,E,0,2,45.73
83.0,S,0,1,50.73
84.0,W,0,1,60.64
84.0,N,1,1,75.01
84.0,E,0,2,47.71
84.0,S,0,1,52.95
85.0,W,0,1,60.46
85.0,N,1,1,75.01
85.0,E,0,2,47.88
85.0,S,0,1,55.09
86.0,W,0,1,59.56
86.0,N,1,1,75.01
86.0,E,0,1,51.45
86.0,S,0,2,51.91
87.0,W,0,1,58.43
87.0,N,1,1,75.01
87.0,E,0,1,53.41
87.0,S,0,2,50.25
88.0,W,0,1,54.68
88.0,N,1,1,75.01
88.0,E,0,1,55.09
88.0,S,0,2,52.63
89.0,W,0,1,50.71
89.0,N,1,1,75.01
89.0,E,0,1,56.45
89.0,S,0,2,54.7
90.0,W,0,1,46.93
90.0,N,1,1,75.01
90.0,E,0,1,58.77
90.0,S,0,2,56.27
91.0,W,0,0,60.01
91.0,N,1,1,75.01
91.0,E,0,1,60.55
91.0,S,0,3,51.69
92.0,W,0,0,60.01
92.0,N,0,1,76.24
92.0,E,0,1,61.54
92.0,S,0,3,53.15
93.0,W,0,0,60.01
93.0,N,0,0,100.01
93.0,E,0,1,60.72
93.0,S,0,3,53.9
94.0,W,0,0,60.01
94.0,N,0,2,59.11
94.0,E,0,2,50.75
94.0,S,0,3,55.46
95.0,W,0,1,54.07
95.0,N,0,2,61.54
95.0,E,0,2,49.0
95.0,S,0,3,56.27
96.0,W,0,1,55.54
96.0,N,0,2,64.72
96.0,E,0,1,54.97
96.0,S,0,3,57.27
