time,dir,queue,vehicles,mean_speed
50.0,E,0,7,30.68
50.0,S,0,4,57.37
51.0,W,6,16,28.76
51.0,N,0,2,79.35
51.0,E,0,7,32.51
51.0,S,0,4,54.94
52.0,W,5,16,31.15
52.0,N,0,2,82.5
52.0,E,0,8,33.64
52.0,S,0,4,54.18
53.0,W,3,15,28.11
53.0,N,0,2,80.0
53.0,E,0,8,36.18
53.0,S,0,4,53.61
54.0,W,1,15,27.23
54.0,N,0,2,78.12
54.0,E,1,9,35.82
54.0,S,0,6,47.73
55.0,W,1,14,25.23
55.0,N,0,1,84.73
55.0,E,2,9,35.18
55.0,S,0,6,48.84
56.0,W,0,14,23.94
56.0,N,0,1,93.32
56.0,E,3,10,34.17
56.0,S,1,6,48.12
57.0,W,0,14,20.7
57.0,N,0,2,78.49
57.0,E,4,11,36.81
57.0,S,1,7,47.37
58.0,W,1,13,21.86
58.0,N,0,2,77.03
58.0,E,5,12,37.86
58.0,S,1,7,46.31
59.0,W,1,11,22.13
59.0,N,0,2,75.13
59.0,E,5,12,35.25
59.0,S,1,8,45.35
60.0,W,1,12,23.75
60.0,N,0,2,73.53
60.0,E,5,13,35.04
60.0,S,1,9,44.21
61.0,W,1,10,23.42
61.0,N,0,2,71.07
61.0,E,5,13,34.75
61.0,S,2,9,43.82
62.0,W,1,11,25.36
62.0,N,0,3,60.6
62.0,E,5,14,34.8
62.0,S,2,9,43.9
63.0,W,1,10,25.5
63.0,N,0,2,69.41
63.0,E,5,15,34.84
63.0,S,2,9,44.1
64.0,W,1,9,26.45
64.0,N,1,3,73.32
64.0,E,5,15,33.57
64.0,S,2,10,45.33
65.0,W,1,9,27.51
65.0,N,1,3,70.6
65.0,E,5,15,31.92
65.0,S,3,10,46.98
66.0,W,1,7,27.72
66.0,N,1,4,48.76
66.0,E,5,15,29.78
66.0,S,3,10,47.27
67.0,W,1,7,29.86
67.0,N,1,4,45.24
67.0,E,5,16,29.94
67.0,S,3,10,46.48
68.0,W,1,5,29.49
68.0,N,1,4,41.43
68.0,E,6,17,29.51
68.0,S,3,10,45.66
69.0,W,1,6,32.38
69.0,N,2,4,39.23
69.0,E,6,18,28.72
69.0,S,3,11,44.08
70.0,W,1,4,31.97
70.0,N,2,4,39.79
70.0,E,6,19,23.77
70.0,S,4,11,41.7
71.0,W,1,5,35.62
71.0,N,2,5,49.56
71.0,E,4,20,22.67
71.0,S,4,11,39.88
72.0,W,1,4,37.0
72.0,N,3,4,58.24
72.0,E,4,22,25.21
72.0,S,6,11,38.42
73.0,W,1,4,36.45
73.0,N,3,4,56.22
73.0,E,4,22,24.27
73.0,S,6,12,30.6
74.0,W,1,3,42.89
74.0,N,3,4,54.19
74.0,E,5,22,25.82
74.0,S,7,12,31.29
75.0,W,1,4,38.46
75.0,N,3,4,52.39
75.0,E,6,23,24.68
75.0,S,8,12,31.35
76.0,W,1,4,40.59
76.0,N,3,4,50.51
76.0,E,8,23,21.53
76.0,S,8,12,31.35
77.0,W,1,6,45.63
77.0,N,3,4,50.16
77.0,E,9,26,18.51
77.0,S,8,12,32.35
78.0,W,1,7,45.57
78.0,N,3,4,50.84
78.0,E,10,26,16.58
78.0,S,9,12,33.68
79.0,W,1,6,44.25
79.0,N,3,4,51.98
79.0,E,12,26,13.64
79.0,S,10,12,34.51
80.0,W,1,6,42.14
80.0,N,3,5,32.78
80.0,E,12,26,12.32
80.0,S,10,12,34.69
81.0,W,1,6,40.7
81.0,N,3,5,33.79
81.0,E,13,27,12.09
81.0,S,10,12,34.11
82.0,W,1,5,40.17
82.0,N,4,5,35.64
82.0,E,14,27,11.4
82.0,S,8,14,35.07
83.0,W,1,6,33.12
83.0,N,4,5,37.93
83.0,E,15,28,11.55
83.0,S,7,14,32.49
84.0,W,1,6,29.22
84.0,N,4,5,39.18
84.0,E,15,29,12.04
84.0,S,7,14,29.21
85.0,W,2,7,28.0
85.0,N,4,5,41.45
85.0,E,18,29,10.63
85.0,S,6,14,26.28
86.0,W,2,7,24.13
86.0,N,4,4,50.0
86.0,E,18,29,9.04
86.0,S,7,14,23.62
87.0,W,3,8,24.24
87.0,N,4,4,50.0
87.0,E,21,29,7.72
87.0,S,4,15,20.81
88.0,W,4,8,20.25
88.0,N,4,4,50.0
88.0,E,23,29,6.24
88.0,S,7,15,20.09
89.0,W,4,8,17.86
89.0,N,4,4,50.0
89.0,E,23,29,4.85
89.0,S,10,15,20.36
90.0,W,3,9,15.63
90.0,N,4,5,57.84
90.0,E,24,29,4.26
90.0,S,11,15,20.66
91.0,W,1,7,17.86
91.0,N,4,6,61.43
91.0,E,24,27,3.87
91.0,S,12,15,20.62
92.0,W,1,6,22.01
92.0,N,2,7,38.65
92.0,E,22,27,3.16
92.0,S,10,14,20.82
93.0,W,0,6,25.77
93.0,N,0,5,40.78
93.0,E,22,29,3.63
93.0,S,8,13,21.07
94.0,W,0,6,27.49
94.0,N,0,5,41.52
94.0,E,20,27,3.57
94.0,S,6,13,21.29
95.0,W,0,3,39.54
95.0,N,0,4,41.77
95.0,E,18,28,3.83
95.0,S,4,15,17.78
96.0,W,0,4,36.59
96.0,N,0,3,57.17
96.0,E,15,28,4.72
96.0,S,2,15,19.88
97.0,W,0,5,27.46
97.0,N,0,3,60.97
97.0,E,14,28,10.02
97.0,S,1,15,22.11
98.0,W,0,5,28.77
98.0,N,0,3,63.65
98.0,E,13,28,11.65
98.0,S,2,15,23.86
99.0,W,0,5,30.87
99.0,N,0,3,66.01
99.0,E,12,29,14.52
99.0,S,2,14,29.99
100.0,W,1,6,36.21
100.0,N,0,1,88.75
100.0,E,11,29,15.85
100.0,S,2,15,30.29
101.0,W,2,8,36.18
101.0,N,0,1,90.58
101.0,E,9,30,17.71
101.0,S,3,15,31.61
102.0,W,3,9,35.45
102.0,N,0,1,91.95
102.0,E,9,30,19.18
102.0,S,3,14,31.24
103.0,W,3,9,30.4
103.0,N,0,1,86.62
103.0,E,10,30,19.69
103.0,S,4,15,30.79
104.0,W,3,10,39.63
104.0,N,0,1,87.8
104.0,E,8,29,21.16
104.0,S,4,14,31.27
105.0,W,3,10,34.09
105.0,N,0,1,89.35
105.0,E,8,29,21.59
105.0,S,5,14,30.56
106.0,W,4,11,29.8
106.0,N,0,1,90.75
106.0,E,7,30,22.17
106.0,S,5,14,30.52
107.0,W,4,11,23.17
107.0,N,0,1,92.6
107.0,E,7,30,22.5
107.0,S,4,12,28.95
108.0,W,6,12,18.42
108.0,N,0,0,100.01
108.0,E,7,30,21.03
108.0,S,3,12,28.13
109.0,W,7,13,20.32
109.0,N,0,0,100.01
109.0,E,8,31,22.12
109.0,S,2,10,34.02
110.0,W,8,13,13.59
110.0,N,0,0,100.01
110.0,E,10,30,22.22
110.0,S,1,8,35.35
111.0,W,10,13,14.26
111.0,N,0,0,100.01
111.0,E,10,30,22.81
111.0,S,0,8,33.88
112.0,W,11,14,16.22
112.0,N,0,0,100.01
112.0,E,12,29,23.04
112.0,S,0,6,30.33
113.0,W,11,14,12.73
113.0,N,0,1,86.79
113.0,E,12,29,24.2
113.0,S,0,5,31.81
114.0,W,11,14,14.21
114.0,N,0,1,88.69
114.0,E,14,28,25.65
114.0,S,0,4,38.45
115.0,W,12,16,18.93
115.0,N,0,1,91.03
115.0,E,15,28,26.31
115.0,S,0,3,45.08
116.0,W,12,16,19.35
116.0,N,0,1,93.17
116.0,E,15,28,25.34
116.0,S,0,2,44.27
117.0,W,12,16,16.88
117.0,N,0,1,88.9
117.0,E,16,27,25.5
117.0,S,0,1,53.4
118.0,W,13,17,18.78
118.0,N,0,1,90.4
118.0,E,16,26,22.61
118.0,S,0,0,60.01
119.0,W,13,17,19.52
119.0,N,0,1,91.67
119.0,E,17,26,20.39
119.0,S,0,0,60.01
120.0,W,13,18,21.24
120.0,N,0,1,93.36
120.0,E,17,24,19.37
120.0,S,0,0,60.01
121.0,W,13,19,18.98
121.0,N,0,0,100.01
121.0,E,18,24,18.62
121.0,S,0,0,60.01
122.0,W,14,20,17.83
122.0,N,0,0,100.01
122.0,E,18,24,20.99
122.0,S,0,0,60.01
123.0,W,15,21,17.25
123.0,N,0,0,100.01
123.0,E,19,23,31.5
123.0,S,0,0,60.01
124.0,W,17,21,15.05
124.0,N,0,0,100.01
124.0,E,20,24,32.44
124.0,S,0,1,51.32
125.0,W,18,21,11.83
125.0,N,0,0,100.01
125.0,E,20,25,33.33
125.0,S,0,1,52.67
126.0,W,18,21,3.05
126.0,N,0,0,100.01
126.0,E,20,25,33.33
126.0,S,0,1,54.28
127.0,W,18,21,4.15
127.0,N,0,0,100.01
127.0,E,21,26,33.54
127.0,S,0,2,51.72
128.0,W,18,21,5.04
128.0,N,0,0,100.01
128.0,E,22,26,33.12
128.0,S,0,2,54.14
129.0,W,17,21,6.25
129.0,N,0,0,100.01
129.0,E,22,27,33.26
129.0,S,0,2,56.46
130.0,W,18,20,8.12
130.0,N,0,0,100.01
130.0,E,23,27,32.37
130.0,S,0,2,58.49
131.0,W,19,21,7.97
131.0,N,0,0,100.01
131.0,E,23,28,32.82
131.0,S,0,2,59.29
132.0,W,19,21,9.09
132.0,N,0,0,100.01
132.0,E,23,29,32.88
132.0,S,0,3,55.46
133.0,W,18,20,10.87
133.0,N,0,0,100.01
133.0,E,24,29,32.06
133.0,S,0,3,55.23
134.0,W,17,20,12.77
134.0,N,0,0,100.01
134.0,E,25,30,32.13
134.0,S,0,3,55.09
135.0,W,18,20,15.27
135.0,N,0,0,100.01
135.0,E,25,30,31.81
135.0,S,0,3,56.24
136.0,W,18,19,19.88
136.0,N,0,0,100.01
136.0,E,27,30,31.42
136.0,S,0,3,57.92
137.0,W,18,19,21.15
137.0,N,0,0,100.01
137.0,E,25,30,30.92
137.0,S,0,3,58.25
138.0,W,16,18,30.21
138.0,N,0,0,100.01
138.0,E,24,28,30.46
138.0,S,0,3,55.08
139.0,W,14,18,30.72
139.0,N,0,0,100.01
139.0,E,23,28,30.55
139.0,S,0,2,58.41
140.0,W,12,17,26.41
140.0,N,0,0,100.01
140.0,E,21,29,17.22
140.0,S,0,2,55.65
141.0,W,10,17,28.38
