time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
476.0,E,2,6,46.55,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
476.0,S,0,1,60.09,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
477.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
477.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
477.0,E,2,6,44.51,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
477.0,S,0,1,59.63,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
478.0,W,0,1,58.19,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
478.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
478.0,E,3,6,42.68,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
478.0,S,0,1,59.54,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
479.0,W,0,1,57.37,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
479.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
479.0,E,3,6,41.51,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
479.0,S,0,1,59.85,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
480.0,W,0,1,58.12,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
480.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
480.0,E,4,6,40.54,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
480.0,S,0,1,59.94,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
481.0,W,0,1,57.38,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
481.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
481.0,E,4,6,38.81,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
481.0,S,0,1,60.06,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
482.0,W,0,1,57.66,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
482.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
482.0,E,5,7,39.21,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
482.0,S,0,1,59.96,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
483.0,W,0,1,55.38,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
483.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
483.0,E,5,7,38.27,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
483.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
484.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
484.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
484.0,E,5,7,37.13,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
484.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
485.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
485.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
485.0,E,6,7,37.09,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
485.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
486.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
486.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
486.0,E,6,7,36.96,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
486.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
487.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
487.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
487.0,E,6,7,37.1,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
487.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
488.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
488.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
488.0,E,6,8,36.87,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
488.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
489.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
489.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
489.0,E,6,8,37.05,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),5,bus_night_r5.19:[25 edges]; bus_night_r5.15:[25 edges]; bus_night_r5.16:[25 edges]; bus_night_r5.18:[25 edges]; bus_night_r5.17:[25 edges]
489.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
490.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
490.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
