time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
361.0,N,1,1,83.34,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
361.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
361.0,S,1,2,40.71,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
362.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
362.0,N,0,1,84.59,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
362.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
362.0,S,0,2,44.17,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
363.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
363.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
363.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
363.0,S,0,1,54.33,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
364.0,W,0,1,52.32,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
364.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
364.0,E,0,1,52.1,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
364.0,S,0,1,55.74,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
365.0,W,0,1,54.32,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
365.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
365.0,E,0,1,53.94,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
365.0,S,0,1,56.87,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
366.0,W,0,1,55.75,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
366.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
366.0,E,0,3,49.57,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
366.0,S,0,1,58.07,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
367.0,W,0,1,57.99,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
367.0,N,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
367.0,E,0,4,52.23,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
367.0,S,0,1,57.54,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
